RESPODENT ID;DATE;START TIME;END TIME;AREA;COMPANION;WEATHER;GENDER;SMOKING AT THE MOMENT;BRAND;AGREED TO SHARE;QUANTITY
1;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Camel;Yes;1 
2;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;VIP;Yes;1
3;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
4;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;Camel;Yes;1
5;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;UNKNOWN;No;0
6;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;Winston;Yes;2
7;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Pirveli;Yes;1
8;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Camel;Yes;1
9;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Parlament;Yes;1
10;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Pirveli;Yes;1
11;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Camel;Yes;1
12;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
13;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Marlboro;Yes;1
14;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
15;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;Parlament;Yes;1
16;15.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;Parlament;Yes;2
17;15.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;tobaco;Yes;1
18;15.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
19;15.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;No;Camel;Yes;1
20;15.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;No;UNKNOWN;No;0
21;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
22;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;Yes;Parlament;Yes;2
23;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
24;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;Yes;Parlament;Yes;2
25;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;Yes;Pirveli;Yes;1
26;15.07.2026;19:00;22:00;Guramishvili;Friend;Sunny;Male;No;UNKNOWN;No;0
27;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;Yes;Parlament;Yes;1
28;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;No;Parlament;Yes;1
29;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;No;Parlament;Yes;1
30;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;No;UNKNOWN;No;0
31;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;Yes;tobaco;Yes;2
32;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;No;Parlament;Yes;1
33;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;Yes;Parlament;Yes;1
34;15.07.2026;19:00;22:00;Grmagele;Friend;Sunny;Male;Yes;UNKNOWN;No;0
35;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;Winston;Yes;1
36;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;UNKNOWN;No;0
37;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;Parlament;Yes;2
38;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;UNKNOWN;No;0
39;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;masisvitak;Yes;1
40;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;UNKNOWN;No;0
41;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;Parlament;Yes;1
42;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;Marlboro;Yes;1
43;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;Winston;Yes;1
44;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;Camel;Yes;1
45;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;Pirveli;Yes;1
46;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;Winston;Yes;1
47;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;Pirveli;Yes;1
48;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;No;UNKNOWN;No;0
49;15.07.2026;19:00;22:00;Nadzaladevi;Friend;Sunny;Male;Yes;UNKNOWN;No;0
50;15.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;Manchester;Yes;1
51;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Parlament;Yes;1
52;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;Camel;Yes;1
53;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
54;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Winston;Yes;1
55;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
56;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;UNKNOWN;No;0
57;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;UNKNOWN;No;0
58;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Marlboro;Yes;1
59;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;LM;Yes;1
60;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;No;Marlboro;Yes;1
61;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;UNKNOWN;No;0
62;16.07.2026;19:00;22:00;Gldani;Friend;Sunny;Male;Yes;tobaco;Yes;1
63;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;No;Davidoff;Yes;1
64;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
65;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;Camel;Yes;1
66;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
67;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;No;UNKNOWN;No;0
68;16.07.2026;19:00;22:00;Sarajishvili;Friend;Sunny;Male;Yes;UNKNOWN;No;0
